"title","content","date","variant","images","verified","author","rating","product","url"
"Great shoes, but still had a security tag attached...","I love these shoes! It took a couple days to break them in, but they're really comfortable and don't make my feet hurt. I would've given them 5 stars, but the shoes still had a security tag attached to them and I had to go to a few stores to find a place that could remove it. That was really frustrating!","12 Sep 2018","Size: 8.5 Color: White/Metallic Silver/Dark Grey","","Yes","Miranda R.","4.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2&sortBy=recent
"
"Love Nike","Perfect for my high arches. No break in needed. Comfortable for long hikes","16 Jan 2019","Size: 7 Color: White/Metallic Silver/Dark Grey","","Yes","AmazonJunkie","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2&sortBy=recent
"
"Great!","I'm not really big into sneakers but I'm a fan of Nike and their activewear. When I saw these a few months ago, I HAD to have them. I usually only buy shoes that are black or black & white so this was a change for me. They're on the pricey side so for months I watched the price yo-yo. Right after the holidays they were the cheapest I've seen them, so I bought them! I had received them a few days ago. I wore them for the first time today and they were great! I'm normally a size 7 in women's shoes and one reviewer mentioned going up a half size, which ended up being a good idea so I ordered the 7. 5. Definitely very comfortable and I feel like it gives me a little bit of height (I'm 5'0 so I like it!). I love the colors! Can't wait to break them in!","13 Jan 2020","Size: 7.5 Color: Black/White/Mtlc Cool Grey","","Yes","Alana Marie","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2&sortBy=recent
"
"Haven't tried on Nike's in years","Not a good fit for me.  The sole material is incredible stiff (hardly bendable). Compared to my old Gel Nimbus 16 Asics little front foot support for impact.  The heel fits fine ... shoe is tight around top of foot and toe box. I feel an odd bump in the ball of foot cushion.  Another half size up MIGHT do it (I always wear a 7 in running shoes and that's what I ordered), if it weren't for the other issues. I own a pair the original Nike's Lady running shoes from the 80's. They STILL fit perfectly!","27 Jul 2019","Size: 7 Color: White/Metallic Silver/Dark Grey","","Yes","CarrieK","2.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2&sortBy=recent
"
"Perfect fit - Great product","I love these running shoes.  The only thing I will say is I wish I had worn socks with them.  Otherwise they are like walking on clouds.  I have circulation issues and these are the only shoes that don't pinch anywhere.  (rubbing on the arch of the foot is probably more to do with my foot than the shoe design it self).","27 Oct 2018","Size: 7.5 Color: White/Metallic Silver/Dark Grey","","Yes","L Huurm","4.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2&sortBy=recent
"
"Very comfortable!! Work great when you’re on concrete floors all day long!","I’m on concrete floors all day at work and these shoes have helped sooo much!!!! Very comfortable!!","05 Nov 2018","Size: 9 Color: White/Metallic Silver/Dark Grey","","Yes","Amazon Customer","4.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2&sortBy=recent
"
"NIKE reax run5 awesome shoes with no breaking feeling wonderful in my feet true to size","Very nice sneakers I have osteoarthritis very comfortable straight out of box with no break in needed no shock to my knees or feet . I highly recommend this item very comfortable great support","11 Oct 2018","Size: 7.5 Color: White/Metallic Silver/Dark Grey","","Yes","Lisa53","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2&sortBy=recent
"
"Great shoes.","Not shoes I wanted, but needed a pair I could actually walk in due to being pregnant and keeping up with my 2yr old outside. So I ordered these was bummed out till I received them I fell in love instantly I get so many compliments and when I say how much they cost people are wowed at how such great shoes are pricy, but not costing a arm and leg like most. However they do rub a little and are tight around the ankles (My ankles have not swollen yet only 3m along) SO I would least suggest socks that go a little above your ankle at least. I got a size 9 they are a little big on me so I would say order a size down or if you like the extra room get your normal size.","14 May 2019","Size: 9 Color: White/Metallic Silver/Dark Grey","","Yes","Shannon Jones","4.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2&sortBy=recent
"
"True: Not a typical Nike fit","This shoe is awesome. I usually get half a size larger in Nike because they are typically narrow and short. This shoe, however, I ordered in my normal size six and it's great. The toe box is roomier. The whole shoe seems wider to me. They are comfortable and I love running in them. I have gone on long runs, short runs with them and they are great! If you are looking for the typical snug fitting nike, this is not it.","20 Jun 2019","Size: 6 Color: White/Metallic Silver/Dark Grey","","Yes","sba","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2&sortBy=recent
"
"I really recommend these shoes!","I love these shoes! I finally found shoes not only help me walk 3 of my dogs but they also have great grip on the ground! My dogs saw someone walking their dog and these shoes kept me from slipping off the pavement! Comedy avoided that day!","01 May 2019","Size: 7.5 Color: White/Metallic Silver/Dark Grey","","Yes","Nicole Lynch","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2&sortBy=recent
"
"Love them!!!!!!","This is the first time I have ever bought shoes for myself online so I was a bit scared/sceptical, but they fit perfectly. I was in an auto accident and my shoes were ruined. I was unable to go shopping due to injuries and I am so thankful they fit perfectly!!","12 Feb 2019","Size: 7.5 Color: White/Metallic Silver/Dark Grey","","Yes","Lea Vanderlei","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3&sortBy=recent
"
"Pretty shoe but runs small","I wear a 7 in most shoes, my Brooks shoes are a 7.5 so I ordered these in a 7.5 too and unfortunately they’re too small. The shoe is quite stiff going on, not a lot of give in them at all. I’m not sure I could run in these but they’re so beautiful I’m returning them and getting an 8 hoping those will fit better. It’s such a pretty shoe, but I’ll be looking for something else to run in and use these with my jeans or capris.","28 Apr 2020","Size: 7.5 Color: White/Metallic Silver/Dark Grey","","Yes","Serena","4.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3&sortBy=recent
"
"Cheaply Made & DAMAGED!!!","The shoe appears to look great till you get them and then when I got them in the mail they already had scuffs and scratches in the paint and the shoe had some bumpy areas towards the back of the shoe that should not be there the material seems to be made real cheap or I just ended up with a pair that was made horribly! I’m not that happy about this shoe (Nike Reax Run 5)  I should not have to pay for a pair of shoes that’s already damaged! When I get shoes I take care of them and don’t like marks and scuffs so all in all I’m not very happy with this product I would Have never paid the amount I paid for these shoes if I would have known they were going to be damaged!! I’m not satisfied at all!! Now I have to wait until I get paid again before I can even get a decent pair of shoes to wear !","22 Mar 2020","Size: 9.5 Color: Black/White/Mtlc Cool Grey","https://images-na.ssl-images-amazon.com/images/I/71+edvuqi+L._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71GaqzIG7LL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71lRsq0h2tL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71nbsOQ0PDL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71xutUjC5YL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81N+kIkAr+L._SY88.jpg","Yes","Dawn","2.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3&sortBy=recent
"
"You have to buy them to believe them, iam in Love with my Sneakers","This is the best Sneaker I have ever purchased iam on my feet, walking according to my Fitbit way over eight thousand steps and I don’t feel it at all I love these sneakers","28 Feb 2019","Size: 9 Color: White/Metallic Silver/Dark Grey","","Yes","Sweet Nancy","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3&sortBy=recent
"
"Perfect fit, comfortable","These were just what I wanted. Perfect fit, comfortable, and not super bright and tacky like most athletic shoes these days.","14 Nov 2018","Size: 6 Color: White/Metallic Silver/Dark Grey","","Yes","Kim","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3&sortBy=recent
"
"Stylish, supportive, Comfortable","I am usually do not buy Nikes because of the narrow fit on me.  but I read the reviews and gave it a shot.  Well I couldn't be happier! These have been comfortable from the minute I put them on!  They seem wider than the typical Nikes I've bought and extremely supportive..  I walk and workout and they've been perfect.  I recently have had some lower back pain and am trying to wear these which really helps.  You can't go wrong with these shoes.  I plan on ordering more colors","11 Nov 2019","Size: 8.5 Color: White/Metallic Silver/Dark Grey","","Yes","Ruthie","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3&sortBy=recent
"
"Greatest athletic shoes EVER, greatest footwear ever.","So comfortable for any physical activity, walking, weights, yoga, and running the distance. The comfort is top notch and unmatched by any other I've ever worn, period. Great looking, and great for all physical activities, from walking all over doing errands to running a marathon. Best athletic shoes ever, hands down, worth every dollar, it is worth its price and beyond.  Highly recommend for all.","12 Apr 2020","Size: 8 Color: White/Metallic Silver/Dark Grey","","Yes","LDee","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3&sortBy=recent
"
"Need more size 12 women’s shoes","Comfortable. It’s hard for me to find athletic shoes because I wear women’s 12 but men’s shoes tend to be to wide and boxy in the toe area for me. It’s wonderful to find a pair I like and can wear.","30 Nov 2019","Size: 12 Color: White/Metallic Silver/Dark Grey","","Yes","Shopping","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3&sortBy=recent
"
"Comfort","I was getting foot pain while in gym and this was 4th pair I be trying to help me with pain in my feet while gym training and this is the shoes I wear everyday no pain. I have all expensive types of shoes but this one helped me with pain and I can enjoy my gym","04 May 2019","Size: 9.5 Color: White/Metallic Silver/Dark Grey","","Yes","Amazon Customer","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3&sortBy=recent
"
"Nike shors","These shoes are great!  I have been doing power walking in them .  They fit great and no blisters.  So comfortable!  I would be these again .","18 Apr 2019","Size: 6.5 Color: White/Metallic Silver/Dark Grey","","Yes","Karen Wilkinson","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3&sortBy=recent
"
"Very hard shoes","I'm a Nike shoes expert, I always wear Nike for my workouts cause simply it's the best choice for me and I always order them online. This time I was amazed by the design, the color.. everything but when it reached. I was a bit disappointed :( the quality is way too poor for Nike brand, the shoes is so hard on my feet and toes although I have a very slim foot and the shoes is wide! so it's really big  NO for this model for me.","01 Feb 2020","Size: 9.5 Color: Black/White/Mtlc Cool Grey","","Yes","Shereen El Mahdy","3.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4&sortBy=recent
"
"Nice","Left foot feels like you have a bunches up sock under your toes. I took out the inserts and it's the shoe itself not the insert. So that's annoying. Beautiful but can't wear them very long due to that. I would guess this is a one off issue so I wouldn't that stop you from ordering this was just my experience and only issue.","03 Mar 2020","Size: 7.5 Color: White/Metallic Silver/Dark Grey","","Yes","JODY","4.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4&sortBy=recent
"
"Pray over Nike Shoes always","Great and comfortable tennis shoe. Just pray over them because Michael Jordan may have sold his soul to sell Nike's for generations and everyone who wore them be cursed. So we pray over all of our products before we use. Feels great.","05 Apr 2020","Size: 8 Color: White/Metallic Silver/Dark Grey","","Yes","Lady","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4&sortBy=recent
"
"Love these shoes!!!","These are very cute, comfortable and are great running shoes! The only issue is the back of the shoe rubbed a blister on my heel with no show socks. I would wear a little higher of a sock because the back of the shoe comes up higher than most.","07 Mar 2019","Size: 6 Color: White/Metallic Silver/Dark Grey","","Yes","Dashia Lovvorn","4.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4&sortBy=recent
"
"I love these shoes. Are so nice.","These shoes are so clean. Love em...","10 Dec 2018","Size: 7.5 Color: White/Metallic Silver/Dark Grey","","Yes","Amy price","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4&sortBy=recent
"
"I don’t do reviews but  I felt I should share my honest opinion to try to help someone else","Appearance- very stylish, cute Fitting- I have small feet size 6 and these were really tight on my feet, the arch in the right shoe felt off which made for a uncomfortable feeling. Comfort- I’m on my feet a majority of the time that I’m awake and I’m constantly going, I tried these for half a day I couldn’t do it my feet hurt. These shoes are not breathable. I definitely do not feel that these are worth the money","12 Mar 2019","Size: 6 Color: White/Metallic Silver/Dark Grey","","Yes","Lacinda Herrmann","1.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4&sortBy=recent
"
"I love the look","I love the look. It's hard to find a normal looking seeker.  These are perfect.  The price is a little much.","18 Aug 2018","Size: 8.5 Color: White/Metallic Silver/Dark Grey","","Yes","Teresa Caldwell","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4&sortBy=recent
"
"Durability of shoe","Ok I have now had the shoe for one month. I have to say I can see lots of stress on my shoe. I work in the construction field so I am in and out of an office and running and walking a ton. Not the best shoe for wear and tear durability. Very comfortable shoe I must say but not very durable.","19 Oct 2018","Size: 6.5 Color: White/Metallic Silver/Dark Grey","","Yes","Leah","4.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4&sortBy=recent
"
"My sweetie is pleased","My lady is very pleased with the product. They look cute on her feet and she is happy that I got her exactly what she asked for. The shoes fit bit she already had a pair and they lasted a  very long time. I’m still very pleased with Amazon over all as whatever I need from furniture to hard to get snacks you guys are truly a technological wonder.","16 Jan 2020","Size: 9 Color: White/Metallic Silver/Dark Grey","","Yes","Chauncey Pope","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4&sortBy=recent
"
"Good shoes","I received the shoes today. So far I really like them. They are very comfortable and offer good support for my arches. My only complaint is that they left the plastic security device on the shoes. With some time and help from the internet on how to remove the device, we were able to remove it from the shoe. Aside from that I am very happy with my purchase.","16 Oct 2019","Size: 11 Color: White/Metallic Silver/Dark Grey","","Yes","Mary Seawright","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4&sortBy=recent
"
"Fabulous Sneaker","Really comfortable, looks great feels amazing , my feet don’t ever hurt in these sneakers , kinda reminds me of a base ball","27 Nov 2018","Size: 6.5 Color: White/Metallic Silver/Dark Grey","","Yes","Carolyn Edmiston","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&pageNumber=5&sortBy=recent
"
"Super hard to find shoes that fit nicely and look good from my eye level","These shoe a super cool for appearance on the side. I personally hate looking down at sneakers on my feet because I have wide feet. These shoes kinda give me the same vibe when looking down at them. I’ve been walking around in them to break them in. So far the are doing the job.","24 Mar 2019","Size: 9.5 Color: White/Metallic Silver/Dark Grey","","Yes","JoJo","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&pageNumber=5&sortBy=recent
"
"Dirty, worn right shoe","Didn’t try it on because the right shoe was yellowish grey, looked dirty. Sent them back","25 Sep 2018","Size: 7.5 Color: White/Metallic Silver/Dark Grey","","Yes","mogulsskier","1.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&pageNumber=5&sortBy=recent
"
"Very comfortable and supportive","I baby these, white shoes in nursing don’t stay white for very long. But if I do t have sore feet after a double shift I’m happy. I get a lot compliments and several people have told me they have never seen these in the store. Amazon is the only place I shop for my Nike’s!! Great service and shoes!!","12 Jun 2019","Size: 8.5 Color: White/Metallic Silver/Dark Grey","","Yes","Brattykell","5.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&pageNumber=5&sortBy=recent
"
"A bit narrow","I was hoping this shoe would help my aching feet but it was a bit too narrow for me. Thatsaidit was a good looking shoe and well padded. If this comes in a wider version, I would definitely order it.","02 May 2020","Size: 8.5 Color: White/Metallic Silver/Dark Grey","","Yes","Judith S. Traynor","3.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&pageNumber=5&sortBy=recent
"
"Knock offs","I like the sneakers, but there is a huge smudge in the one side, for nearly $100, you would think they would be perfect. I’m not happy about this, I would like a partial refund as they are not perfect!","30 Mar 2020","Size: 8.5 Color: Black/White/Mtlc Cool Grey","","Yes","M.R.","3.0","Nike Women's Reax Run 5 Running Shoes","https://www.amazon.com/Nike-Womens-Reax-Running-Shoes/product-reviews/B07ZPL752N/ref=cm_cr_getr_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&pageNumber=5&sortBy=recent
"
